1,パイロデビル-f73c59ee6d935defbddca5ca2a7da9fd.png,パイロデビル,火,3480,1,19050,1400,-
1,フロストデビル-2d2aab41fadebe58f0b5a35f6f786684.png,フロストデビル,水,3510,1,19200,1400,-
1,タウロスデビル-ddef0b499b5ccde385ffd5da1de334b4.png,タウロスデビル,木,3570,1,19350,1400,-
1,ハーピィデビル-6190755fb56cedf53a7c74f761321b3d.png,ハーピィデビル,光,3600,1,19650,1400,-
1,ブラッドデビル-2b01e4a9800447bd50fab57fdba702e2.png,ブラッドデビル,闇,3690,1,19800,1400,-
2,-,以下から4体が出現,-,-,-,-,-,-
2,神化の紅面-c05905931a96eac3634b40159a4130f8.png,神化の紅面,火,9999,5,18,60000,-
2,神化の蒼面-aa6e7f719245f825de1cd6d40b4097b2.png,神化の蒼面,水,9999,5,18,60000,-
2,神化の碧面-d596f94a9a6f176a0757a9c470043b3a.png,神化の碧面,木,9999,5,18,60000,-
2,神化の金面-69c6ac7038866e2e0962dccfc76165cb.png,神化の金面,光,9999,5,18,60000,-
2,神化の黒面-3c9e9a7cbd36cebc85afd202420690c6.png,神化の黒面,闇,9999,5,18,60000,-
3,-,以下から4体が出現,-,-,-,-,-,-
3,フレイムナイト-f682acfa9c27190f32df96802ce23938.png,フレイムナイト,火,4920,2,23850,270,-
3,アクアナイト-6def92b1b86dda942bef0cfc5133e3b4.png,アクアナイト,水,5010,2,24600,270,-
3,アースナイト-fbb8c479e9c44cb4aeb65733b84084ad.png,アースナイト,木,5130,2,25350,270,-
3,ホワイトナイト-e91e524ca8807545d376e6471447ed32.png,ホワイトナイト,光,5280,2,26100,270,-
3,ブラックナイト-4eb03d560efd281834308448681763d0.png,ブラックナイト,闇,5370,2,26850,270,-
4,ヴァンパイアロード-1dcc2b8ee04e36490d3acdf85cd0a9bb.png,ヴァンパイアロードx3,闇,8520,3,602100,700,-
5,ハイランダー-c3d7d28c668d939115997125ad331c14.png,ハイランダー,木,5710,1,372633,16500,-
5,ベルセルク-4b852299a5eff83c95812b3e87184225.png,ベルセルク,水,14085,3,1117077,66,-
